time,ip_address,packets_input,packets_output,packets_dropped
2023-06-04 05:58:04,67.176.52.206,1210283,626569,46925
2023-06-04 06:00:05,67.176.52.206,1210683,626885,47009
2023-06-04 06:02:04,67.176.52.206,1211345,627329,47095
2023-06-04 06:04:05,67.176.52.206,1211916,627697,47185
2023-06-04 06:06:05,67.176.52.206,1212357,628023,47277
2023-06-04 06:08:05,67.176.52.206,1213042,628414,47364
2023-06-04 06:10:05,67.176.52.206,1213595,628714,47459
2023-06-04 06:12:04,67.176.52.206,1214198,629080,47565
2023-06-04 06:14:05,67.176.52.206,1214836,629530,47666
2023-06-04 06:16:04,67.176.52.206,1215465,629868,47764
2023-06-04 06:18:05,67.176.52.206,1216197,630334,47857
2023-06-04 06:20:05,67.176.52.206,1216713,630633,47950
2023-06-04 06:22:05,67.176.52.206,1217541,631195,48049
2023-06-04 06:24:05,67.176.52.206,1218196,631561,48140
2023-06-04 06:26:05,67.176.52.206,1219083,631944,48219
2023-06-04 06:28:05,67.176.52.206,1219648,632330,48310
2023-06-04 06:30:04,67.176.52.206,1220218,632708,48399
2023-06-04 06:32:05,67.176.52.206,1220656,633065,48490
2023-06-04 06:34:04,67.176.52.206,1221228,633418,48586
2023-06-04 06:36:05,67.176.52.206,1221793,633726,48690
2023-06-04 06:38:04,67.176.52.206,1222434,634105,48785
2023-06-04 06:40:05,67.176.52.206,1223027,634429,48880
2023-06-04 06:42:05,67.176.52.206,1223441,634753,48966
2023-06-04 06:44:05,67.176.52.206,1224027,635119,49062
2023-06-04 06:46:05,67.176.52.206,1224492,635429,49151
2023-06-04 06:48:04,67.176.52.206,1225074,635860,49239
2023-06-04 06:50:05,67.176.52.206,1225656,636187,49336
2023-06-04 06:52:04,67.176.52.206,1226307,636562,49420
2023-06-04 06:54:05,67.176.52.206,1227086,636991,49510
2023-06-04 06:56:04,67.176.52.206,1227622,637324,49599
2023-06-04 06:58:05,67.176.52.206,1228307,637701,49690
2023-06-04 07:00:05,67.176.52.206,1228815,638024,49777
2023-06-04 07:02:05,67.176.52.206,1229268,638398,49861
2023-06-04 07:04:05,67.176.52.206,1229910,638875,49948
2023-06-04 07:06:04,67.176.52.206,1230626,639244,50041
2023-06-04 07:08:05,67.176.52.206,1231150,639640,50141
2023-06-04 07:10:04,67.176.52.206,1231762,639947,50239
2023-06-04 07:12:05,67.176.52.206,1232340,640325,50346
2023-06-04 07:14:05,67.176.52.206,1233021,640667,50444
2023-06-04 07:16:05,67.176.52.206,1233967,641056,50537
2023-06-04 07:18:05,67.176.52.206,1234776,641546,50629
2023-06-04 07:20:04,67.176.52.206,1235473,641865,50716
2023-06-04 07:22:05,67.176.52.206,1236172,642279,50807
2023-06-04 07:24:04,67.176.52.206,1236578,642584,50897
2023-06-04 07:26:05,67.176.52.206,1237036,642903,50983
2023-06-04 07:28:05,67.176.52.206,1237642,643265,51068
2023-06-04 07:30:05,67.176.52.206,1238126,643591,51158
2023-06-04 07:32:05,67.176.52.206,1238713,643955,51247
2023-06-04 07:34:05,67.176.52.206,1239290,644325,51342
2023-06-04 07:36:05,67.176.52.206,1239736,644617,51433
2023-06-04 07:38:04,67.176.52.206,1240538,645112,51522
2023-06-04 07:40:05,67.176.52.206,1241022,645416,51612
2023-06-04 07:42:04,67.176.52.206,1241606,645835,51700
2023-06-04 07:44:05,67.176.52.206,1242225,646274,51790
2023-06-04 07:46:04,67.176.52.206,1242782,646578,51887
2023-06-04 07:48:05,67.176.52.206,1243419,646989,51977
2023-06-04 07:50:05,67.176.52.206,1243726,647208,52078
2023-06-04 07:52:05,67.176.52.206,1244304,647585,52167
2023-06-04 07:54:05,67.176.52.206,1244869,647934,52249
2023-06-04 07:56:04,67.176.52.206,1245497,648261,52332
2023-06-04 07:58:05,67.176.52.206,1245929,648580,52424
2023-06-04 08:00:04,67.176.52.206,1246302,648860,52513
2023-06-04 08:02:05,67.176.52.206,1246755,649205,52592
2023-06-04 08:04:04,67.176.52.206,1247278,649554,52685
2023-06-04 08:06:05,67.176.52.206,1247848,649887,52788
2023-06-04 08:08:05,67.176.52.206,1248370,650252,52877
2023-06-04 08:10:05,67.176.52.206,1250671,652166,52972
2023-06-04 08:12:05,67.176.52.206,1256281,653940,53077
2023-06-04 08:14:04,67.176.52.206,1257407,654733,53173
2023-06-04 08:16:05,67.176.52.206,1258724,655437,53271
2023-06-04 08:18:04,67.176.52.206,1273114,666594,53384
2023-06-04 08:20:05,67.176.52.206,1274543,667265,53477
2023-06-04 08:22:05,67.176.52.206,1275887,668303,53567
2023-06-04 08:24:05,67.176.52.206,1283736,672649,53683
2023-06-04 08:26:05,67.176.52.206,1299349,675240,53773
2023-06-04 08:28:04,67.176.52.206,1307692,676743,53855
2023-06-04 08:30:05,67.176.52.206,1308471,677264,53947
2023-06-04 08:32:04,67.176.52.206,1318727,679122,54035
2023-06-04 08:34:05,67.176.52.206,1325654,680312,54136
2023-06-04 08:36:04,67.176.52.206,1330827,681420,54236
2023-06-04 08:38:05,67.176.52.206,1334673,682165,54320
2023-06-04 08:40:05,67.176.52.206,1338763,683014,54418
2023-06-04 08:42:05,67.176.52.206,1342985,683854,54500
2023-06-04 08:44:05,67.176.52.206,1346918,684643,54589
2023-06-04 08:46:04,67.176.52.206,1350555,685437,54680
2023-06-04 08:48:05,67.176.52.206,1353795,686336,54768
2023-06-04 08:50:04,67.176.52.206,1366971,688580,54873
2023-06-04 08:52:05,67.176.52.206,1380886,690556,54964
2023-06-04 08:54:05,67.176.52.206,1389452,693001,55064
2023-06-04 08:56:05,67.176.52.206,1401712,699005,55160
2023-06-04 08:58:05,67.176.52.206,1410213,704265,55254
2023-06-04 09:00:04,67.176.52.206,1413025,706852,55381
2023-06-04 09:02:06,67.176.52.206,1414458,707751,55460
2023-06-04 09:04:05,67.176.52.206,1416329,708879,55553
2023-06-04 09:06:05,67.176.52.206,1417548,709658,55654
2023-06-04 09:08:04,67.176.52.206,1418214,710144,55742
2023-06-04 09:10:05,67.176.52.206,1419534,711132,55832
2023-06-04 09:12:04,67.176.52.206,1427945,715603,55943
2023-06-04 09:14:05,67.176.52.206,1429432,716998,56043
2023-06-04 09:16:04,67.176.52.206,1437826,718798,56138
2023-06-04 09:18:05,67.176.52.206,1481635,727177,56242
2023-06-04 09:20:05,67.176.52.206,1502322,729890,56343
