time,ip_address,packets_input,packets_output,packets_dropped
2023-06-01 20:50:05,67.176.52.206,405046,253104,19355
2023-06-01 20:52:05,67.176.52.206,405602,253490,19447
2023-06-01 20:54:05,67.176.52.206,406260,253938,19537
2023-06-01 20:56:05,67.176.52.206,407537,255008,19646
2023-06-01 20:58:05,67.176.52.206,410128,257057,19757
2023-06-01 21:00:04,67.176.52.206,410957,257877,19840
2023-06-01 21:02:05,67.176.52.206,411590,258369,19930
2023-06-01 21:04:04,67.176.52.206,413277,259614,20028
2023-06-01 21:06:05,67.176.52.206,414941,260952,20130
2023-06-01 21:08:05,67.176.52.206,416060,261712,20231
2023-06-01 21:10:05,67.176.52.206,416983,262400,20324
2023-06-01 21:12:05,67.176.52.206,418513,263409,20416
2023-06-01 21:14:04,67.176.52.206,419241,263972,20517
2023-06-01 21:16:05,67.176.52.206,420471,264887,20611
2023-06-01 21:18:04,67.176.52.206,421289,265531,20707
2023-06-01 21:20:05,67.176.52.206,422516,266537,20808
2023-06-01 21:22:04,67.176.52.206,426236,269173,20932
2023-06-01 21:24:05,67.176.52.206,503763,280416,21044
2023-06-01 21:26:05,67.176.52.206,504721,281157,21145
2023-06-01 21:28:05,67.176.52.206,506079,282268,21245
2023-06-01 21:30:05,67.176.52.206,511095,284685,21341
2023-06-01 21:32:04,67.176.52.206,536339,287314,21455
2023-06-01 21:34:05,67.176.52.206,591244,295335,21662
2023-06-01 21:36:04,67.176.52.206,592086,295871,21765
2023-06-01 21:38:05,67.176.52.206,592837,296405,21847
2023-06-01 21:40:05,67.176.52.206,593630,297046,21933
2023-06-01 21:42:05,67.176.52.206,595047,298045,22021
2023-06-01 21:44:05,67.176.52.206,602913,302910,22117
2023-06-01 21:46:04,67.176.52.206,610271,306260,22208
2023-06-01 21:48:05,67.176.52.206,645641,311969,22315
2023-06-01 21:50:04,67.176.52.206,649325,314325,22422
2023-06-01 21:52:05,67.176.52.206,649980,314844,22514
2023-06-01 21:54:04,67.176.52.206,651196,315849,22614
2023-06-01 21:56:05,67.176.52.206,652154,316478,22699
2023-06-01 21:58:05,67.176.52.206,653898,317968,22795
2023-06-01 22:00:05,67.176.52.206,656192,319944,22881
2023-06-01 22:02:05,67.176.52.206,658180,321395,22972
2023-06-01 22:04:05,67.176.52.206,662321,324118,23070
2023-06-01 22:06:05,67.176.52.206,663200,324899,23162
2023-06-01 22:08:04,67.176.52.206,673369,329781,23254
2023-06-01 22:10:05,67.176.52.206,674288,330369,23350
2023-06-01 22:12:04,67.176.52.206,675925,331527,23451
2023-06-01 22:14:05,67.176.52.206,677448,332743,23546
2023-06-01 22:16:04,67.176.52.206,678191,333270,23640
2023-06-01 22:18:05,67.176.52.206,680364,334760,23739
2023-06-01 22:20:05,67.176.52.206,681083,335260,23835
2023-06-01 22:22:04,67.176.52.206,682364,336265,23925
2023-06-01 22:24:05,67.176.52.206,685247,338185,24013
2023-06-01 22:26:04,67.176.52.206,686792,339203,24099
2023-06-01 22:28:05,67.176.52.206,695157,346350,24214
2023-06-01 22:30:04,67.176.52.206,727489,365517,24373
2023-06-01 22:32:05,67.176.52.206,753136,382129,24636
2023-06-01 22:34:05,67.176.52.206,760256,387947,24809
2023-06-01 22:36:05,67.176.52.206,772755,396804,24933
2023-06-01 22:38:05,67.176.52.206,800107,410035,25151
2023-06-01 22:40:04,67.176.52.206,814006,417286,25314
2023-06-01 22:42:05,67.176.52.206,815087,418095,25414
2023-06-01 22:44:04,67.176.52.206,817074,419599,25511
2023-06-01 22:46:05,67.176.52.206,820397,422003,25612
2023-06-01 22:48:04,67.176.52.206,839948,426823,25718
2023-06-01 22:50:05,67.176.52.206,840631,427319,25813
2023-06-01 22:52:05,67.176.52.206,844380,429992,25936
2023-06-01 22:54:05,67.176.52.206,845725,431141,26024
2023-06-01 22:56:05,67.176.52.206,858417,437765,26122
2023-06-01 22:58:04,67.176.52.206,861387,439627,26302
2023-06-01 23:00:05,67.176.52.206,862505,440502,26413
2023-06-01 23:02:04,67.176.52.206,864067,441428,26499
2023-06-01 23:04:05,67.176.52.206,864976,441993,26605
2023-06-01 23:06:05,67.176.52.206,866070,442736,26696
2023-06-01 23:08:05,67.176.52.206,867345,443665,26801
2023-06-01 23:10:05,67.176.52.206,867949,444090,26896
2023-06-01 23:12:05,67.176.52.206,869041,444761,27005
2023-06-01 23:14:05,67.176.52.206,869711,445248,27100
2023-06-01 23:16:04,67.176.52.206,870427,445785,27198
2023-06-01 23:18:05,67.176.52.206,871689,446702,27298
2023-06-01 23:20:04,67.176.52.206,872491,447152,27396
2023-06-01 23:22:05,67.176.52.206,874782,448612,27492
2023-06-01 23:24:05,67.176.52.206,876376,449889,27579
2023-06-01 23:26:05,67.176.52.206,882357,453001,27663
2023-06-01 23:28:05,67.176.52.206,887691,456345,27755
2023-06-01 23:30:04,67.176.52.206,890206,457874,27842
2023-06-01 23:32:05,67.176.52.206,891297,458682,27941
2023-06-01 23:34:04,67.176.52.206,892052,459215,28033
2023-06-01 23:36:05,67.176.52.206,892762,459753,28141
2023-06-01 23:38:04,67.176.52.206,893896,460499,28233
2023-06-01 23:40:05,67.176.52.206,894671,460938,28327
2023-06-01 23:42:05,67.176.52.206,895834,461847,28422
2023-06-01 23:44:05,67.176.52.206,896591,462366,28511
2023-06-01 23:46:05,67.176.52.206,897580,462907,28612
2023-06-01 23:48:04,67.176.52.206,898687,463676,28716
2023-06-01 23:50:05,67.176.52.206,900038,464532,28818
2023-06-01 23:52:04,67.176.52.206,901133,465254,28912
2023-06-01 23:54:05,67.176.52.206,901811,465753,28997
2023-06-01 23:56:04,67.176.52.206,902458,466246,29084
2023-06-01 23:58:05,67.176.52.206,903644,467129,29186
2023-06-02 00:00:05,67.176.52.206,904923,468040,29283
2023-06-02 00:02:05,67.176.52.206,945787,489653,29503
2023-06-02 00:04:05,67.176.52.206,946700,490443,29645
2023-06-02 00:06:04,67.176.52.206,947709,490981,29955
2023-06-02 00:08:05,67.176.52.206,949009,491753,30116
2023-06-02 00:10:04,67.176.52.206,949690,492228,30225
2023-06-02 00:12:05,67.176.52.206,950959,492900,30481
2023-06-02 00:14:04,67.176.52.206,951876,493562,30580
2023-06-02 00:16:05,67.176.52.206,953085,494270,30675
2023-06-02 00:18:05,67.176.52.206,954480,495189,30771
2023-06-02 00:20:04,67.176.52.206,955847,496143,30864
2023-06-02 00:22:05,67.176.52.206,957185,496903,30956
2023-06-02 00:24:04,67.176.52.206,957947,497457,31050
2023-06-02 00:26:05,67.176.52.206,958642,497953,31131
2023-06-02 00:28:04,67.176.52.206,960350,499157,31234
2023-06-02 00:30:05,67.176.52.206,961150,499752,31327
2023-06-02 00:32:05,67.176.52.206,962115,500442,31438
2023-06-02 00:34:05,67.176.52.206,962941,501001,31537
2023-06-02 00:36:05,67.176.52.206,963686,501546,31645
2023-06-02 00:38:04,67.176.52.206,964822,502266,31739
2023-06-02 00:40:05,67.176.52.206,965854,502769,31833
2023-06-02 00:42:04,67.176.52.206,966980,503491,31920
2023-06-02 00:44:05,67.176.52.206,967882,504063,32025
2023-06-02 00:46:04,67.176.52.206,975422,507706,32118
2023-06-02 00:48:05,67.176.52.206,980654,510930,32214
2023-06-02 00:50:05,67.176.52.206,982029,512051,32304
2023-06-02 00:52:05,67.176.52.206,986153,514605,32399
2023-06-02 00:54:05,67.176.52.206,987298,515472,32493
2023-06-02 00:56:04,67.176.52.206,1001897,519494,32591
2023-06-02 00:58:05,67.176.52.206,1008555,521008,32685
2023-06-02 01:00:04,67.176.52.206,1016362,525566,32890
2023-06-02 01:02:05,67.176.52.206,1017559,526486,32978
2023-06-02 01:04:04,67.176.52.206,1018623,527322,33083
2023-06-02 01:06:05,67.176.52.206,1020776,528654,33186
2023-06-02 01:08:05,67.176.52.206,1025529,530898,33281
2023-06-02 01:10:05,67.176.52.206,1027648,532230,33382
2023-06-02 01:12:05,67.176.52.206,1029929,533747,33493
2023-06-02 01:14:04,67.176.52.206,1031169,534738,33594
2023-06-02 01:16:05,67.176.52.206,1032323,535634,33688
2023-06-02 01:18:04,67.176.52.206,1033522,536530,33779
